month,commit_count,lines_added,lines_removed,total_churn,files_changed,month_date
2012-12,68,3411,1922,5333,99,2012-12-01
2013-01,107,4234,4190,8424,204,2013-01-01
2013-02,66,2309,1071,3380,594,2013-02-01
2013-03,61,8322,6525,14847,581,2013-03-01
2013-04,128,6708,80157,86865,860,2013-04-01
2013-05,111,12068,6804,18872,214,2013-05-01
2013-06,104,8621,4671,13292,220,2013-06-01
2013-07,76,2000,5726,7726,187,2013-07-01
2013-08,97,11204,21393,32597,603,2013-08-01
2013-09,106,4773,3516,8289,186,2013-09-01
2013-10,121,7361,8187,15548,229,2013-10-01
2013-11,57,1134,527,1661,83,2013-11-01
2013-12,55,1758,549,2307,103,2013-12-01
2014-01,83,11876,11804,23680,259,2014-01-01
2014-02,109,8529,6212,14741,237,2014-02-01
2014-03,147,13377,91731,105108,347,2014-03-01
2014-04,51,4503,30311,34814,140,2014-04-01
2014-05,74,1739,4480,6219,132,2014-05-01
2014-06,48,1011,497,1508,75,2014-06-01
2014-07,86,3558,2441,5999,208,2014-07-01
2014-08,51,3153,2885,6038,125,2014-08-01
2014-09,70,2239,712,2951,139,2014-09-01
2014-10,60,1870,995,2865,121,2014-10-01
2014-11,56,1540,1216,2756,92,2014-11-01
2014-12,38,1420,382,1802,74,2014-12-01
2015-01,68,4496,1934,6430,142,2015-01-01
2015-02,65,1609,825,2434,109,2015-02-01
2015-03,62,2599,1321,3920,129,2015-03-01
2015-04,40,1157,525,1682,75,2015-04-01
2015-05,61,2372,791,3163,101,2015-05-01
2015-06,75,2521,2178,4699,172,2015-06-01
2015-07,65,11955,10196,22151,285,2015-07-01
2015-08,97,6567,2330,8897,215,2015-08-01
2015-09,60,1835,624,2459,98,2015-09-01
2015-10,108,3732,1572,5304,210,2015-10-01
2015-11,61,1523,1087,2610,116,2015-11-01
2015-12,97,2641,1280,3921,222,2015-12-01
2016-01,153,5212,3266,8478,354,2016-01-01
2016-02,112,3218,2008,5226,229,2016-02-01
2016-03,50,1683,690,2373,82,2016-03-01
2016-04,31,497,284,781,53,2016-04-01
2016-05,53,1234,383,1617,90,2016-05-01
2016-06,43,1962,980,2942,93,2016-06-01
2016-07,27,632,440,1072,44,2016-07-01
2016-08,39,1452,362,1814,75,2016-08-01
2016-09,66,5276,1278,6554,255,2016-09-01
2016-10,66,1551,406,1957,103,2016-10-01
2016-11,49,2635,1246,3881,121,2016-11-01
2016-12,67,107249,111479,218728,135,2016-12-01
2017-01,73,2464,1437,3901,122,2017-01-01
2017-02,108,2619,15141,17760,255,2017-02-01
2017-03,137,136861,115503,252364,365,2017-03-01
2017-04,142,7487,3816,11303,336,2017-04-01
2017-05,90,2988,1564,4552,220,2017-05-01
2017-06,81,4040,11876,15916,304,2017-06-01
2017-07,101,12433,7193,19626,262,2017-07-01
2017-08,81,1835,1137,2972,228,2017-08-01
2017-09,114,2070,1285,3355,195,2017-09-01
2017-10,85,4081,1145,5226,139,2017-10-01
2017-11,129,11664,2948,14612,302,2017-11-01
2017-12,117,5703,4946,10649,247,2017-12-01
2018-01,98,3448,1414,4862,187,2018-01-01
2018-02,78,4110,2758,6868,227,2018-02-01
2018-03,166,66787,11432,78219,1137,2018-03-01
2018-04,148,6047,8167,14214,503,2018-04-01
2018-05,118,3918,1798,5716,221,2018-05-01
2018-06,152,6785,4428,11213,431,2018-06-01
2018-07,116,3704,1438,5142,206,2018-07-01
2018-08,85,2370,1604,3974,194,2018-08-01
2018-09,163,6355,2729,9084,357,2018-09-01
2018-10,172,15459,3537,18996,431,2018-10-01
2018-11,99,7800,4498,12298,294,2018-11-01
2018-12,112,5415,4017,9432,319,2018-12-01
2019-01,107,5774,1715,7489,241,2019-01-01
2019-02,81,4283,3291,7574,231,2019-02-01
2019-03,107,14796,12522,27318,474,2019-03-01
2019-04,138,5944,5945,11889,529,2019-04-01
2019-05,160,18626,34507,53133,605,2019-05-01
2019-06,142,15133,28593,43726,458,2019-06-01
2019-07,194,5912,2385,8297,387,2019-07-01
2019-08,153,2917,2404,5321,675,2019-08-01
2019-09,142,4652,2374,7026,325,2019-09-01
2019-10,149,4180,2894,7074,334,2019-10-01
2019-11,100,4509,4239,8748,269,2019-11-01
2019-12,106,3456,1538,4994,280,2019-12-01
2020-01,226,11930,11502,23432,994,2020-01-01
2020-02,112,3133,1601,4734,252,2020-02-01
2020-03,125,9899,2983,12882,369,2020-03-01
2020-04,110,3075,1252,4327,221,2020-04-01
2020-05,250,7659,4995,12654,571,2020-05-01
2020-06,218,23087,3620,26707,519,2020-06-01
2020-07,173,6140,15652,21792,335,2020-07-01
2020-08,229,10984,7833,18817,525,2020-08-01
2020-09,219,16890,9431,26321,440,2020-09-01
2020-10,284,16253,4882,21135,515,2020-10-01
2020-11,190,17582,5482,23064,564,2020-11-01
2020-12,174,10013,5130,15143,381,2020-12-01
2021-01,190,11409,6470,17879,422,2021-01-01
2021-02,251,12875,3281,16156,435,2021-02-01
2021-03,177,4083,2908,6991,377,2021-03-01
2021-04,185,124839,4479,129318,381,2021-04-01
2021-05,305,14694,5061,19755,621,2021-05-01
2021-06,212,10175,4449,14624,415,2021-06-01
2021-07,233,59932,27257,87189,515,2021-07-01
2021-08,184,6692,122597,129289,481,2021-08-01
2021-09,216,12621,5918,18539,880,2021-09-01
2021-10,221,17561,5208,22769,482,2021-10-01
2021-11,218,13486,10073,23559,637,2021-11-01
2021-12,138,7937,6501,14438,583,2021-12-01
2022-01,233,14577,7369,21946,554,2022-01-01
2022-02,141,7331,2864,10195,299,2022-02-01
2022-03,134,18810,12324,31134,325,2022-03-01
2022-04,88,4423,2076,6499,226,2022-04-01
2022-05,175,4618,2445,7063,386,2022-05-01
2022-06,240,6180,2919,9099,450,2022-06-01
2022-07,117,2748,1687,4435,216,2022-07-01
2022-08,78,6962,3740,10702,159,2022-08-01
2022-09,106,5583,2201,7784,207,2022-09-01
2022-10,149,5150,4185,9335,385,2022-10-01
2022-11,172,7009,3426,10435,572,2022-11-01
2022-12,159,5910,4838,10748,307,2022-12-01
2023-01,203,5211,7009,12220,403,2023-01-01
2023-02,190,6301,4309,10610,450,2023-02-01
2023-03,158,2974,2867,5841,366,2023-03-01
2023-04,174,4613,2335,6948,353,2023-04-01
2023-05,159,4101,2548,6649,397,2023-05-01
2023-06,259,21427,20308,41735,612,2023-06-01
2023-07,259,7515,5592,13107,584,2023-07-01
2023-08,244,20843,24898,45741,1143,2023-08-01
2023-09,159,10276,9451,19727,1393,2023-09-01
2023-10,198,9966,6592,16558,508,2023-10-01
2023-11,239,17757,6857,24614,903,2023-11-01
2023-12,224,7473,4681,12154,583,2023-12-01
2024-01,166,11482,9052,20534,541,2024-01-01
2024-02,205,21287,8743,30030,816,2024-02-01
2024-03,220,6621,14716,21337,537,2024-03-01
2024-04,136,2315,1756,4071,350,2024-04-01
2024-05,184,4802,2591,7393,348,2024-05-01
2024-06,229,8045,4136,12181,611,2024-06-01
2024-07,247,11608,6969,18577,653,2024-07-01
2024-08,166,7159,3511,10670,588,2024-08-01
2024-09,120,2355,1930,4285,299,2024-09-01
2024-10,144,7664,3393,11057,355,2024-10-01
2024-11,137,7899,4149,12048,382,2024-11-01
2024-12,138,10028,8007,18035,733,2024-12-01
2025-01,145,3443,2959,6402,306,2025-01-01
